id,title,url,description,date-posted,work-mode,location,job-type,job-schedule,carrer-level,travel-required,categories
1806790,Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1806790,"Develop and maintain web crawlers and data scraping scripts. Design and implement scalable, robust and maintainable microservices using Python, Django and FastAPI. Utilize AWS & Ali Cloud infrastructure to run low-cost crawlers. Create monitoring...",09/5/23,100% Remote,Work from Anywhere,"Employee, Freelance","Full-Time, Part-Time, Flexible Schedule, Alternative Schedule",Experienced,No,
1880682,Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1880682,"Write high-quality, well-designed and well-tested Python software. Collaborate proactively with a globally distributed team. Display technical leadership at our company and in our communities. Debug issues and produce high-quality code to fix them.",10/11/23,100% Remote,Work from Anywhere,Employee,Full-Time,Experienced,"Yes, a bit",
1053306,Python Developer,https://www.flexjobs.com/HostedJob.aspx?id=1053306,"Perform coding for backend and frontend, run test automation, and tackle interesting programming problems. Must have three years of experience with Python and good understanding of HTML, SQLAlchemy, and WSGI. Freelance, remote.",08/17/23,100% Remote,Brazil,Freelance,Flexible Schedule,Experienced,No,"Computer & IT, SQL, Software Development, Python"
1839014,Python Developer,https://www.flexjobs.com/HostedJob.aspx?id=1839014,"Continuously improve the design and implementation of the image capture pipeline in terms of accuracy, reliability, and performance.
Integrate computer vision algorithms and machine learning models into a custom biometric scanner software stack...",08/29/23,100% Remote,Work from Anywhere,Employee,Full-Time,Experienced,No,
1856635,Python Developer,https://www.flexjobs.com/HostedJob.aspx?id=1856635,Build and maintain our applications used by thousands of users and businesses across the globe. Build strong relationships with the product team to drive outcomes and continuous improvement. Apply best engineering practices for our projects...,09/10/23,100% Remote,Philippines,Employee,Full-Time,Experienced,No,
1210557,Python Developer,https://www.flexjobs.com/HostedJob.aspx?id=1210557,"Ensure that features are being delivered efficiently and on-time. Participate in architectural review and design. Must have a bachelor's degree and 5 years of experience in software development. Freelance, remote role.",09/21/23,100% Remote,Work from Anywhere,Freelance,Experienced,No,"Software Development, Python",
1838291,Python Data Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1838291,"We are looking for a highly-skilled remote data engineer that has experience with scripting in Python to pull in and normalize data from multiple varying APIs. Candidates should have experience with Python scripting, working with databases, working...",08/28/23,100% Remote,US National,Employee,Full-Time,Experienced,No specification,"Python, Software Development"
348771,"Python, Django Developer",https://www.flexjobs.com/HostedJob.aspx?id=348771,"Seeking experienced Python developer to participate in two projects primarily utilizing Python and Django, performing front-end/back-end development. jQuery skills are a big plus, along with solid SQL skills. Full time, long-term, freelance position.",08/18/23,100% Remote,Work from Anywhere,Freelance,"Full-Time, Flexible Schedule",Experienced,No specification,"SQL, Software Development, Python"
1872830,Senior Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1872830,"Seeking a Senior Python Engineer with 5+ years of hands-on experience in Python, AWS solutions, data parsing and manipulation, and SQL. Responsible for focusing on artificial intelligence and machine learning. Competitive salary and benefits offered.",09/29/23,100% Remote,US National,Employee,Full-Time,Experienced,No specification,"Software Development, Computer & IT, Python, SQL"
1876608,Senior Python Engineer ,https://www.flexjobs.com/HostedJob.aspx?id=1876608,We are looking for a Senior Python Engineer for our HQ team to work in one of our product teams. This position will focus on designing and implementing real-world staffing solutions in a Service-Oriented Architecture platform.,10/8/23,100% Remote,"Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom",Employee,Full-Time,Experienced,No specification,"Software Development, Python"
1120324,Senior Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1120324,"Join a distributed team of senior engineers to deliver market-leading software solutions. Must have 5+ years experience as a software engineer and professional Python experience. Full-time, remote position.",09/21/23,100% Remote,"Austin, TX Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No,"Project Management, Software Development, Python"
1136752,Senior Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1136752,"Senior engineer needed for a remote position requiring five+ years' software engineering experience, exceptional Python programming skills. Will write and verify code, perform updates and maintenance, conduct regular reviews, ensure compliance. ",09/20/23,100% Remote,"Buenos Aires, Argentina Candidates need to be able to work in the City or State specified",Employee,Full-Time,Manager,No specification,"Project Management, Software Development, Python"
1849678,Senior Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1849678,"Help support and continue to refine our sophisticated wholesale pricing engine that considers quantity, location, customer price scheduling, and license constraints. 5+ years working in a fast-paced software environment as an engineer. 100% remote work. ",09/20/23,100% Remote,"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula",Employee,Full-Time,Manager,No specification,"Software Development, Python"
1833127,"Software Engineer, Python",https://www.flexjobs.com/HostedJob.aspx?id=1833127,"Design, build and launch new features and improve the overall quality of the app. Collaborate across disciplines to understand our users and iterate on new ideas. Protect our users' privacy and security through secure coding practices.",08/22/23,100% Remote,US National,Employee,Full-Time,Experienced,No specification,"Software Development, Python"
1868013,Python Product Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1868013,"Manages and maintains software applications, participates in development and maintenance of quality assurance procedures, produces high quality solutions to challenging problems, collaborates with other software developers to deliver value.Participates..",09/22/23,100% Remote,US National,Employee,Full-Time,Experienced,No,
1852438,Senior Python Developer,https://www.flexjobs.com/HostedJob.aspx?id=1852438,"Design and develop software for large-scale enterprise services.
Translate functional requirements into conceptual and detailed designs; provide estimates for development effort. Create unit and acceptance tests; perform QA/Test; automate deployment...",09/22/23,100% Remote,Poland,Employee,Full-Time,Experienced,No,
1874183,Tech Lead Python Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1874183,Lead the technical design for the solution. Write code that meets our company high-quality and maintainability standards. Minimum 5 years of experience with Python building large production web applications. Very good grip on SOLID principles and...,10/7/23,100% Remote,"Barcelona, Spain Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No,"Software Development, .NET, Python"
1612424,Software Engineer - Backend - Python ,https://www.flexjobs.com/HostedJob.aspx?id=1612424,"Conceiving, designing, building, and launching new user-facing features. Improving the performance and scalability of our GraphQL and REST API. 5+ years building modern back-end systems, with at least 3 years of that experience using Python. 100% Remote.",09/5/23,100% Remote,"Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Ukraine, United Kingdom, or US National",Employee,Full-Time,Manager,No specification,"Python, Software Development, Java & Android"
