id,title,url,description,date-posted,work-mode,location,job-type,job-schedule,carrer-level,travel-required,categories
1841798,Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1841798,"Writing clean, working, safe and secure Java code. Actively participating in daily scrums, reviews, planning sessions. Manage CI/CD pipelines to automate the setup and deployment of the software architecture. Ensure availability and reliability...",09/4/23,Hybrid Remote,"Amstelveen, Netherlands Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,"Java & Android, Computer & IT, Software Development"
1861907,Senior Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1861907,"Senior Java Developer with 4+ years of experience in Java development. Develop and implement Java applications in a team environment. Technical skills in Hibernate, Spring, and Struts are a plus. Requires excellent communication and collaboration skills.",09/17/23,100% Remote,"Cleveland, OH Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,
1234535,Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1234535,Seeking a remote Java developer to develop applications using skills in Spring Boot microservices and REST API development. Experience in AWS Cloud computing and React.js is needed along with automated testing strategies. 24+ month contract position. ,08/26/23,100% Remote,"New York, NY Candidates need to be able to work in the City or State specified",Freelance,Full-Time,Experienced,No,
1861896,Senior Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1861896,Seeking Senior Java Developer with 4+ years of experience in Java development. Must have excellent communication skills and be able to work in a team environment with minimal supervision. Bachelor's degree preferred.,09/17/23,100% Remote,"Phoenix, AZ Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,
1026745,Senior Java Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1026745,Seeking an experienced Java engineer to support the development of public blockchain platforms. Remote position with the possibility of traveling some of the time. Must have strong knowledge of the core Java platform and server-side experience.,09/17/23,Hybrid Remote,"Switzerland, Bulgaria, or Work from Anywhere",Employee,Full-Time,Experienced,"Yes, a bit","Software Development, Java & Android"
1861903,Senior Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1861903,"Develop and implement Java apps, work with global clients, understand business practices, and have a passion for tech. 4+ years' experience in Java development needed. Bachelor's degree, or associate's degree with relevant experience, needed.",09/17/23,100% Remote,"Indianapolis, IN Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,
1855983,Java Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1855983,Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack Labs product team to build and deliver a product...,09/9/23,100% Remote,Colombia,Employee,Full-Time,Experienced,No specification,"Software Development, Java & Android"
1861904,Senior Java Developer	,https://www.flexjobs.com/HostedJob.aspx?id=1861904,"Develop and implement Java applications, work in a team environment, have strong communication skills, and a passion for technology. Bachelor's degree in Computer Science or related field preferred.",09/17/23,100% Remote,"Saint Louis, MO Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,
548262,Senior Java Engineer,https://www.flexjobs.com/HostedJob.aspx?id=548262,"Remote candidate will develop web applications using Java, PHP, and MySQL as well as create unit test cases to make sure the code is more robust. Must have 2 - 4 years' experience in Java, Spring, and MySQL. Experience with PHP/Wordpress is a plus.",08/21/23,Option for Remote,"Washington, DC, or US National Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,"Software Development, Java & Android, PHP"
1323576,Android and Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1323576,"Full-time, partially remote position. Will offer feedback, communicate with team, work on projects and meet business needs. Bachelor's degree and 1+ years' related Java for Android experience required.",08/19/23,Hybrid Remote,US National,Employee,Full-Time,Experienced,No specification,"Java & Android, Software Development"
1861901,Senior Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1861901,"Develop and implement Java apps for clients with minimal supervision. Work with Fortune 2000 clients, have a passion for tech, and good communication skills. Experience with Hibernate, Spring, and/or Struts is a plus.",09/17/23,100% Remote,"Memphis, TN Candidates need to be able to work in the City or State specified",Employee,Full-Time,Experienced,No specification,
1856037,Principal Java Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1856037,Principal Java Engineer needed for a remote position. You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. You will work on a Fullstack product team to build and...,09/9/23,100% Remote,Colombia,Employee,Full-Time,Experienced,No specification,"Software Development, Java & Android"
1863199,Senior Java Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1863199,"Seeking a senior Java Engineer to work with real-time ultra-performant concurrent matching of Interactions and Agents, create well articulated Technical Design, CRM integrations, and the integration with 8x8 Unified Communications Platform. Remote. ",09/18/23,100% Remote,Romania,Employee,Full-Time,Experienced,No,
1052051,Senior JAVA Developer,https://www.flexjobs.com/HostedJob.aspx?id=1052051,"Long-term, contract job. Remote option. Needs seven years' experience in designing and developing Java solutions. Will wear multiple hats and play a key role in product development, work on the full stack both front end GUI and backend processes.",09/10/23,Option for Remote,"Portland, ME Candidates need to be able to work in the City or State specified",Freelance,Experienced,No,"Software Development, Java & Android, Web Design",
1861049,Senior Java Golang Developer ,https://www.flexjobs.com/HostedJob.aspx?id=1861049,"Senior Java Golang developer needed for a remote position. Need 8+ years experience. Experience building systems involving messaging or event-driven architectures. Deep technical understanding of Java or Go, and willing to work with both. 
",09/16/23,100% Remote,"Pune, India Candidates need to be able to work in the City or State specified",Employee,Full-Time,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No specification,
1856664,Principal Java Developer,https://www.flexjobs.com/HostedJob.aspx?id=1856664,Team Augmentation: You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis. Design & Build: You will work on a FullStack product team to build and deliver a product to...,09/10/23,100% Remote,Colombia,Employee,Full-Time,Experienced,No specification,"Software Development, Java & Android"
1881977,Senior Java Engineer,https://www.flexjobs.com/HostedJob.aspx?id=1881977,"Perform requirements analysis, design generation, implementation, and validation. Create user interface prototypes and maintain existing product releases. Improve Continuous Integration infrastructure and facilitate test automation.",10/14/23,100% Remote,US National,Employee,Full-Time,Experienced,No specification,"Software Development, Java & Android"
