ano,linguagem,percental,valor
2020,JavaScript,67.7,38844
2020,HTML/CSS,63.1,36205
2020,SQL,54.7,31385
2020,Python,44.1,25303
2020,Java,40.2,23065
2020,Bash/Shell/PowerShell,33.1,18992
2020,C#,31.4,18016
2020,PHP,26.2,15033
2020,TypeScript,25.4,14574
2020,C++,23.9,13713
2020,C,21.8,12508
2020,Go,8.8,5049
2020,Kotlin,7.8,4475
2020,Ruby,7.1,4073
2020,Assembly,6.2,3557
2020,VBA,6.1,3500
2020,Swift,5.9,3385
2020,R,5.7,3270
2020,Rust,5.1,2926
2020,Objective-C,4.1,2352
2020,Dart,4.0,2295
2020,Scala,3.6,2065
2020,Perl,3.1,1778
2020,Haskell,2.1,1204
2020,Julia,0.9,516
2021,JavaScript,64.96,53587
2021,HTML/CSS,56.07,46259
2021,Python,48.24,39792
2021,SQL,47.08,38835
2021,Java,35.35,29162
2021,Node.js,33.91,27975
2021,TypeScript,30.19,24909
2021,C#,27.86,22984
2021,Bash/Shell,27.13,22385
2021,C++,24.31,20057
2021,PHP,21.98,18130
2021,C,21.01,17329
2021,PowerShell,10.75,8871
2021,Go,9.55,7879
2021,Kotlin,8.32,6866
2021,Rust,7.03,5799
2021,Ruby,6.75,5569
2021,Dart,6.02,4965
2021,Assembly,5.61,4632
2021,Swift,5.1,4204
2021,R,5.07,4185
2021,VBA,4.66,3847
2021,Matlab,4.66,3846
2021,Groovy,3.01,2479
2021,Objective-C,2.8,2310
2021,Scala,2.6,2148
2021,Perl,2.46,2028
2021,Haskell,2.12,1749
2021,Delphi,2.1,1731
2021,Clojure,1.88,1552
2021,Elixir,1.74,1438
2021,LISP,1.33,1096
2021,Julia,1.29,1068
2021,F#,0.97,804
2021,Erlang,0.79,651
2021,APL,0.65,536
2021,Crystal,0.56,466
2021,COBOL,0.53,437
2022,JavaScript,65.36,46443
2022,HTML/CSS,55.08,39142
2022,SQL,49.43,35127
2022,Python,48.07,34155
2022,TypeScript,34.83,24752
2022,Java,33.27,23644
2022,Bash/Shell,29.07,20656
2022,C#,27.98,19883
2022,C++,22.55,16024
2022,PHP,20.87,14827
2022,C,19.27,13692
2022,PowerShell,12.07,8575
2022,Go,11.15,7922
2022,Rust,9.32,6625
2022,Kotlin,9.16,6507
2022,Dart,6.54,4648
2022,Ruby,6.05,4299
2022,Assembly,5.47,3887
2022,Swift,4.91,3489
2022,R,4.66,3308
2022,VBA,4.48,3185
2022,MATLAB,4.1,2913
2022,Lua,4.03,2867
2022,Groovy,3.32,2357
2022,Delphi,3.25,2311
2022,Scala,2.59,1837
2022,Objective-C,2.39,1698
2022,Perl,2.31,1644
2022,Haskell,2.22,1577
2022,Elixir,2.15,1528
2022,Julia,1.53,1084
2022,Clojure,1.51,1070
2022,Solidity,1.45,1031
2022,LISP,1.31,932
2022,F#,1.03,730
2022,Fortran,0.91,646
2022,Erlang,0.9,641
2022,APL,0.71,504
2022,COBOL,0.65,464
2022,SAS,0.61,435
2022,OCaml,0.59,422
2022,Crystal,0.48,340
2023,JavaScript,63.61,55711
2023,HTML/CSS,52.97,46396
2023,Python,49.28,43158
2023,SQL,48.66,42623
2023,TypeScript,38.87,34041
2023,Bash/Shell (all shells),32.37,28351
2023,Java,30.55,26757
2023,C#,27.62,24193
2023,C++,22.42,19634
2023,C,19.34,16940
2023,PHP,18.58,16274
2023,PowerShell,13.59,11902
2023,Go,13.24,11592
2023,Rust,13.05,11427
2023,Kotlin,9.06,7935
2023,Ruby,6.23,5454
2023,Lua,6.09,5336
2023,Dart,6.02,5273
2023,Assembly,5.43,4753
2023,Swift,4.65,4072
2023,R,4.23,3702
2023,Visual Basic (.Net),4.07,3568
2023,MATLAB,3.81,3339
2023,VBA,3.55,3107
2023,Groovy,3.4,2976
2023,Delphi,3.23,2831
2023,Scala,2.77,2422
2023,Perl,2.46,2151
2023,Elixir,2.32,2028
2023,Objective-C,2.31,2019
2023,Haskell,2.09,1829
2023,GDScript,1.71,1495
2023,Lisp,1.53,1342
2023,Solidity,1.33,1168
2023,Clojure,1.26,1105
2023,Julia,1.15,1010
2023,Erlang,0.99,868
2023,F#,0.97,849
2023,Fortran,0.95,833
2023,Prolog,0.89,776
2023,Zig,0.83,729
2023,Ada,0.77,677
2023,OCaml,0.7,614
2023,Apex,0.66,579
2023,Cobol,0.66,576
2023,SAS,0.49,427
2023,Crystal,0.44,389
2023,Nim,0.38,331
2023,APL,0.26,225
2023,Flow,0.24,214
2023,Raku,0.18,156
